frame,timestamp,player_id,shot_detected,shot_type,total_bounces_so_far
217,8.68,10,False,Forehand,0
218,8.72,10,False,Forehand,0
219,8.76,10,False,None,0
220,8.8,10,False,None,0
221,8.84,10,False,None,0
222,8.88,10,False,Forehand,0
223,8.92,10,False,Forehand,0
224,8.96,10,False,None,0
225,9.0,10,False,None,0
226,9.04,10,False,None,0
227,9.08,10,False,None,0
228,9.12,10,False,None,0
229,9.16,10,False,None,0
230,9.2,10,False,None,0
231,9.24,10,False,None,0
232,9.28,10,False,None,0
233,9.32,10,False,None,0
234,9.36,10,False,None,0
235,9.4,10,False,None,0
236,9.44,10,False,None,0
237,9.48,10,False,None,0
238,9.52,10,False,None,0
239,9.56,10,False,None,0
240,9.6,10,False,Forehand,0
241,9.64,10,False,None,0
242,9.68,10,False,None,0
243,9.72,10,False,None,0
244,9.76,10,False,None,0
245,9.8,10,False,None,0
246,9.84,10,False,None,0
247,9.88,10,False,None,0
248,9.92,10,False,None,0
249,9.96,10,False,None,0
250,10.0,10,False,None,0
251,10.04,10,False,None,0
252,10.08,10,False,None,0
253,10.12,10,True,Forehand,0
254,10.16,10,False,None,0
255,10.2,10,False,Backhand,0
256,10.24,10,False,None,0
257,10.28,10,False,None,0
258,10.32,10,False,None,0
259,10.36,10,False,None,0
260,10.4,10,False,None,0
261,10.44,10,False,None,0
262,10.48,10,False,None,0
263,10.52,10,False,None,0
264,10.56,10,False,None,0
265,10.6,10,False,None,0
266,10.64,10,False,None,0
267,10.68,10,False,None,0
268,10.72,10,False,None,0
269,10.76,10,False,None,0
270,10.8,10,False,Backhand,0
271,10.84,7,False,None,0
272,10.88,7,False,None,0
273,10.92,7,False,None,0
274,10.96,7,False,Forehand,0
275,11.0,7,False,None,0
276,11.04,7,False,None,0
277,11.08,7,False,Smash,0
278,11.12,7,False,None,0
279,11.16,7,False,None,0
280,11.2,7,False,None,0
281,11.24,7,False,None,0
282,11.28,7,False,None,0
283,11.32,7,False,Smash,0
284,11.36,7,False,Smash,0
285,11.4,7,False,Smash,0
286,11.44,7,False,Smash,0
287,11.48,7,False,Smash,0
288,11.52,7,False,None,0
289,11.56,7,False,None,0
290,11.6,7,True,Smash,0
291,11.64,7,False,None,0
292,11.68,7,False,Forehand,0
293,11.72,7,False,None,0
294,11.76,7,False,None,0
295,11.8,7,False,None,0
296,11.84,7,False,None,0
297,11.88,7,False,None,0
298,11.92,7,False,Forehand,0
299,11.96,7,False,Forehand,0
300,12.0,7,False,None,0
301,12.04,7,False,None,0
302,12.08,7,False,None,0
303,12.12,7,False,None,0
304,12.16,7,False,None,0
305,12.2,7,False,None,0
306,12.24,7,False,None,0
307,12.28,7,False,None,0
308,12.32,7,False,None,0
309,12.36,7,False,None,0
310,12.4,7,False,Forehand,0
311,12.44,7,False,Backhand,0
312,12.48,7,False,Backhand,0
313,12.52,7,False,Forehand,0
314,12.56,7,False,Forehand,0
315,12.6,7,False,Forehand,0
316,12.64,7,False,None,0
317,12.68,7,False,None,0
318,12.72,7,False,Forehand,0
319,12.76,7,False,None,0
320,12.8,7,False,None,0
321,12.84,7,False,None,0
322,12.88,7,False,None,0
323,12.92,7,False,None,0
324,12.96,7,False,None,0
325,13.0,7,False,None,0
326,13.04,7,False,None,0
327,13.08,7,False,None,0
328,13.12,7,False,None,0
329,13.16,7,False,None,0
330,13.2,7,False,None,0
331,13.24,13,False,None,0
332,13.28,13,False,None,0
333,13.32,13,False,None,0
334,13.36,13,False,None,0
335,13.4,13,False,None,0
336,13.44,13,False,None,0
337,13.48,13,False,None,0
338,13.52,13,False,None,0
339,13.56,13,False,None,0
340,13.6,13,False,None,0
341,13.64,13,True,Backhand,0
342,13.68,13,False,None,0
343,13.72,13,False,Forehand,0
344,13.76,13,False,Backhand,0
345,13.8,13,False,Forehand,0
346,13.84,13,False,Forehand,0
347,13.88,13,False,Forehand,0
348,13.92,13,False,None,0
349,13.96,13,False,None,0
350,14.0,13,False,None,0
351,14.04,13,False,Forehand,0
352,14.08,13,False,None,1
353,14.12,13,False,None,1
354,14.16,13,False,None,1
355,14.2,13,False,None,1
356,14.24,13,False,None,1
357,14.28,13,False,None,1
358,14.32,13,False,None,1
359,14.36,13,False,None,1
360,14.4,13,False,None,1
361,14.44,13,False,None,1
362,14.48,13,False,None,1
363,14.52,13,False,None,1
364,14.56,13,False,None,1
365,14.6,13,False,None,1
366,14.64,13,False,None,1
367,14.68,13,False,Forehand,1
368,14.72,13,False,None,1
369,14.76,13,False,Backhand,1
370,14.8,13,False,Forehand,1
371,14.84,13,False,Backhand,1
372,14.88,13,False,None,1
373,14.92,15,False,None,1
374,14.96,15,False,None,1
375,15.0,15,False,None,1
376,15.04,15,False,None,1
377,15.08,15,False,None,1
378,15.12,15,False,None,1
379,15.16,15,False,None,1
380,15.2,15,False,None,1
381,15.24,15,False,None,1
382,15.28,15,False,None,1
383,15.32,15,False,None,1
384,15.36,7,False,None,1
385,15.4,15,False,None,1
386,15.44,15,False,None,1
387,15.48,15,False,None,1
388,15.52,15,False,None,1
389,15.56,15,False,None,1
390,15.6,15,False,None,1
391,15.64,7,False,None,1
392,15.68,7,False,None,1
393,15.72,7,True,Forehand,1
394,15.76,7,False,Forehand,1
395,15.8,7,False,None,1
396,15.84,7,False,None,1
397,15.88,7,False,None,1
398,15.92,7,False,None,1
399,15.96,7,False,None,1
400,16.0,7,False,None,1
401,16.04,7,False,None,1
402,16.08,7,False,None,1
403,16.12,7,False,None,1
404,16.16,7,False,None,1
405,16.2,7,False,None,1
406,16.24,7,False,None,1
407,16.28,7,False,None,1
408,16.32,7,False,None,1
409,16.36,7,False,None,1
410,16.4,7,False,None,1
411,16.44,7,False,None,1
412,16.48,7,False,None,1
413,16.52,7,False,None,1
414,16.56,7,False,None,1
415,16.6,16,False,None,1
416,16.64,16,False,None,1
417,16.68,16,False,None,1
418,16.72,16,False,None,1
419,16.76,16,False,None,1
420,16.8,16,False,None,1
421,16.84,16,False,None,1
422,16.88,16,False,Forehand,1
423,16.92,16,False,None,1
424,16.96,16,False,None,1
425,17.0,16,False,None,1
426,17.04,16,False,None,1
427,17.08,16,False,None,1
428,17.12,16,False,None,1
429,17.16,16,False,None,1
430,17.2,16,True,Forehand,1
431,17.24,16,False,None,1
432,17.28,16,False,None,1
433,17.32,16,False,None,1
434,17.36,17,False,Forehand,1
435,17.4,17,False,None,1
436,17.44,17,False,None,1
437,17.48,17,False,None,1
438,17.52,17,False,None,1
439,17.56,17,False,None,1
440,17.6,17,False,None,1
441,17.64,17,False,None,1
442,17.68,17,False,None,1
443,17.72,17,False,None,1
444,17.76,17,False,None,1
445,17.8,17,False,None,1
446,17.84,17,False,None,1
447,17.88,17,False,None,1
448,17.92,17,False,None,1
449,17.96,17,False,None,1
450,18.0,17,False,None,1
451,18.04,17,False,None,1
452,18.08,17,False,None,1
453,18.12,16,False,None,1
454,18.16,16,False,None,1
455,18.2,16,False,Backhand,1
456,18.24,16,False,None,1
457,18.28,16,False,None,1
458,18.32,16,False,None,1
459,18.36,16,False,None,1
460,18.4,16,False,None,1
461,18.44,16,False,None,1
462,18.48,16,False,Smash,1
463,18.52,16,False,None,1
464,18.56,16,False,None,1
465,18.6,16,False,Backhand,1
466,18.64,16,False,None,1
467,18.68,16,False,None,1
468,18.72,16,False,None,1
469,18.76,16,True,Smash,1
470,18.8,16,False,Backhand,1
471,18.84,16,False,Backhand,1
472,18.88,16,False,Backhand,1
473,18.92,16,False,Forehand,1
474,18.96,16,False,Backhand,1
475,19.0,16,False,Backhand,1
476,19.04,16,False,Backhand,1
477,19.08,16,False,Backhand,1
478,19.12,16,False,Backhand,1
479,19.16,16,False,None,1
480,19.2,16,False,None,1
481,19.24,16,False,Backhand,1
482,19.28,16,False,None,1
483,19.32,16,False,Backhand,1
484,19.36,16,False,None,1
485,19.4,16,False,Smash,1
486,19.44,16,False,Forehand,1
487,19.48,16,False,None,1
488,19.52,16,False,Forehand,1
489,19.56,16,False,None,1
490,19.6,16,False,Forehand,1
491,19.64,16,False,Backhand,1
492,19.68,16,False,Forehand,1
493,19.72,16,False,Forehand,1
494,19.76,16,False,Forehand,1
495,19.8,16,False,Forehand,1
496,19.84,16,False,Forehand,1
497,19.88,16,False,Forehand,1
498,19.92,16,False,Smash,1
499,19.96,16,False,Smash,1
500,20.0,16,False,Forehand,1
501,20.04,16,False,Backhand,1
502,20.08,16,False,Backhand,1
503,20.12,16,False,Backhand,1
504,20.16,16,False,Smash,1
505,20.2,16,False,Backhand,1
506,20.24,20,True,Backhand,1
507,20.28,20,False,Backhand,1
508,20.32,16,False,Backhand,1
509,20.36,20,False,Forehand,1
510,20.4,20,False,Backhand,1
511,20.44,21,False,None,1
512,20.48,21,False,None,1
513,20.52,21,False,Backhand,1
514,20.56,21,False,None,1
515,20.6,9,False,None,1
516,20.64,9,False,Forehand,1
517,20.68,9,False,None,1
518,20.72,21,False,None,1
519,20.76,21,False,None,1
520,20.8,21,False,None,1
521,20.84,7,False,Smash,1
522,20.88,7,False,None,1
523,20.92,7,False,None,1
524,20.96,7,False,None,1
525,21.0,7,False,None,1
526,21.04,7,False,None,1
